tlgroup_id;exercise_id
a850a5f6e16f6e2e435a0555ae83cfcd63370f66;7066d91115b84d6dde66dc28e57f3101bfd73600
a850a5f6e16f6e2e435a0555ae83cfcd63370f66;2b3ec25014c5d89b222f13648ca9efbb0875cfb4
a850a5f6e16f6e2e435a0555ae83cfcd63370f66;50cc3511438264752be7ea49dcdbcdb87f8d02d4
a850a5f6e16f6e2e435a0555ae83cfcd63370f66;2b57875f8d6205d314b7146b2a98f9fb04d26983
a850a5f6e16f6e2e435a0555ae83cfcd63370f66;a4c3489ef0f1be4d2fa70e494b3f47a8074f3061
a850a5f6e16f6e2e435a0555ae83cfcd63370f66;5a6d4edfcf127a2fc331e5c5f4f7802ad4083432
a850a5f6e16f6e2e435a0555ae83cfcd63370f66;f7c77260e7821ce88689f957c9366bd2116f1029
a850a5f6e16f6e2e435a0555ae83cfcd63370f66;6e2c9f55171f95e77d0bbf988dd78b4847bfe5a3
a850a5f6e16f6e2e435a0555ae83cfcd63370f66;790b990b3e5858e16b1f0bd3db657ffcea8b565a
a850a5f6e16f6e2e435a0555ae83cfcd63370f66;149feaba1e43363e92490fe56f35ee03ae37abce
a850a5f6e16f6e2e435a0555ae83cfcd63370f66;e7a67466cc7ff427087ef7e0534042666773ae84
a850a5f6e16f6e2e435a0555ae83cfcd63370f66;d045842cad338eeb2116d1a426aaefda8bbe00f2
a850a5f6e16f6e2e435a0555ae83cfcd63370f66;98e207ce85c5b3b39e8930b3ab924c014d46f11c
a850a5f6e16f6e2e435a0555ae83cfcd63370f66;c3f33ec2e47ca1602691fce0ab9647dc6d6b6a81
a850a5f6e16f6e2e435a0555ae83cfcd63370f66;35bb9928ff087ce3fc108aca5fb0ab7baf26e886
a850a5f6e16f6e2e435a0555ae83cfcd63370f66;077a9e4ca906aa488603d0eee031f52da8b4c256
a850a5f6e16f6e2e435a0555ae83cfcd63370f66;648fee89cf7a6f6d975f7af1479c0dabf5b39841
a850a5f6e16f6e2e435a0555ae83cfcd63370f66;562b2a9be4830ed6867a160231715e6a340394c8
a850a5f6e16f6e2e435a0555ae83cfcd63370f66;df2ed7f31df1e023c9f9e35cb2d541f12ff8d1a6
a850a5f6e16f6e2e435a0555ae83cfcd63370f66;992580fe125994cc699efaf552f2d4ee171fbf45
a850a5f6e16f6e2e435a0555ae83cfcd63370f66;7dbdbcd3527a51e1cf35cb9e28f51f887c0dff08
a850a5f6e16f6e2e435a0555ae83cfcd63370f66;cdb9f1a6cb0b1bb6a36dd4deec1d729e90d57717
a850a5f6e16f6e2e435a0555ae83cfcd63370f66;abcdca1c10cb31f5ea326edc70336ac0e0cdc77a
a850a5f6e16f6e2e435a0555ae83cfcd63370f66;01538299241d2a17283a4bef7f1d83d6ac22b610
a850a5f6e16f6e2e435a0555ae83cfcd63370f66;9b7e23aad2d574822445914f1a2bf2876acb5670
a850a5f6e16f6e2e435a0555ae83cfcd63370f66;a4ca8853fb8988eebd20e6e3b1f58bf55963767c
a850a5f6e16f6e2e435a0555ae83cfcd63370f66;e7e0c6fb7d545f8681a1a4def882b93d54c31e9b
a850a5f6e16f6e2e435a0555ae83cfcd63370f66;083d6b5ee970bb98ec58bc55703d5a7318f51bf8
a850a5f6e16f6e2e435a0555ae83cfcd63370f66;6edad20abeb4c976c27c1c153a2b8353a45d975c
a850a5f6e16f6e2e435a0555ae83cfcd63370f66;3973988e16f35eed6b51fd2d2081c3e0377e914d
a850a5f6e16f6e2e435a0555ae83cfcd63370f66;57a2a225a0fcbcda65395b567c8df787bfd6ab8b
dcd4edce054ee50b20d0936e1cb0d407a429e92b;ea2b94a75b8698e95c3fd0c6576298d14822c32c
dcd4edce054ee50b20d0936e1cb0d407a429e92b;66e0088b368fb3ea9a24e579b000e70bc52c70d0
dcd4edce054ee50b20d0936e1cb0d407a429e92b;68495c2e16bdce5d935e334e7242f937f521af9c
dcd4edce054ee50b20d0936e1cb0d407a429e92b;3a6739423af8ab3c1201fe7bbadd8c66e069db46
dcd4edce054ee50b20d0936e1cb0d407a429e92b;f66ab9857ba0ce686d231454fb2122afddd3fa2c
dcd4edce054ee50b20d0936e1cb0d407a429e92b;1b59bdb383ab46f55b9a1d4768165330ecb1df7d
dcd4edce054ee50b20d0936e1cb0d407a429e92b;6a56a41627ebb3aa682840f86c40a32d366aa000
dcd4edce054ee50b20d0936e1cb0d407a429e92b;a829422b03d75f3473b109548d27986373bde71d
dcd4edce054ee50b20d0936e1cb0d407a429e92b;3a00a0f241363caab514333b8835230d682b819a
dcd4edce054ee50b20d0936e1cb0d407a429e92b;85b894db195752d95d17cbc45bebf150c1196554
dcd4edce054ee50b20d0936e1cb0d407a429e92b;abb87bdc61d528b938b6aec31e1dc97465824edf
dcd4edce054ee50b20d0936e1cb0d407a429e92b;71bc07962cdfd23b449bf0a1792492e64ceaeeb2
dcd4edce054ee50b20d0936e1cb0d407a429e92b;bc298e054dbf28eb2ebeeffe4228211735001882
dcd4edce054ee50b20d0936e1cb0d407a429e92b;611e171fdd6f50ddde0dc7f480453886d79d8777
dcd4edce054ee50b20d0936e1cb0d407a429e92b;1649954835a98a6890abc222148bc7dd367f1dba
dcd4edce054ee50b20d0936e1cb0d407a429e92b;e28240d6103c238972271d2b5dc2d650e31c0326
dcd4edce054ee50b20d0936e1cb0d407a429e92b;e4891fa5a97869886795ab5c43b6621a2cd80231
dcd4edce054ee50b20d0936e1cb0d407a429e92b;00a9ceee077717a4e58f1fc7008f84d9d0574976
dcd4edce054ee50b20d0936e1cb0d407a429e92b;2f0224f730919829a8db640d4d4cfb6f442a87cb
dcd4edce054ee50b20d0936e1cb0d407a429e92b;bb3cd5e0ca53dc1b4071b12f4b0c3604b0884ffd
40e20def19be45f1031e5cfa79a1bbc36caaa748;110c6f454b8e48b34ae23cc608a070077095d158
40e20def19be45f1031e5cfa79a1bbc36caaa748;72a2cc7e750316fe21e661433be95fb1a4237987
40e20def19be45f1031e5cfa79a1bbc36caaa748;f7c77260e7821ce88689f957c9366bd2116f1029
40e20def19be45f1031e5cfa79a1bbc36caaa748;1bedddc639ab82c5f9a194a85b87cc69124f4c32
40e20def19be45f1031e5cfa79a1bbc36caaa748;f598824cc3573294210ac84f8da9481ac0505c9d
40e20def19be45f1031e5cfa79a1bbc36caaa748;543f8306fec7d1c0f64169437459a8a023371b33
40e20def19be45f1031e5cfa79a1bbc36caaa748;5cb2fcdb6c5de7d9afbb09b2c7e32480e1e179fa
40e20def19be45f1031e5cfa79a1bbc36caaa748;aaf56a673ebeb906f34b808a3779472f582d1ec1
40e20def19be45f1031e5cfa79a1bbc36caaa748;0393fcbed1055610f28a8f44a61e78269632504f
40e20def19be45f1031e5cfa79a1bbc36caaa748;90419793578149c1fa0f91cf2bece1bf61ba15c7
40e20def19be45f1031e5cfa79a1bbc36caaa748;440911822d1a5e8546e28d1415712af27f02908e
40e20def19be45f1031e5cfa79a1bbc36caaa748;d7d67fa24d6d57a364325173cff7685ba9e4321a
40e20def19be45f1031e5cfa79a1bbc36caaa748;eeceee47621d4b1f4bbd1e6349b4d0d48276f074
40e20def19be45f1031e5cfa79a1bbc36caaa748;cdb9f1a6cb0b1bb6a36dd4deec1d729e90d57717
40e20def19be45f1031e5cfa79a1bbc36caaa748;6ef9d4b9543cceb88ebb7939ed5de2057e83fe47
40e20def19be45f1031e5cfa79a1bbc36caaa748;b1b1a773a252abdc770a4992c24a931f5eb638a7
40e20def19be45f1031e5cfa79a1bbc36caaa748;f8793089c0590a55e66fce100c5210ae701664e2
40e20def19be45f1031e5cfa79a1bbc36caaa748;cdedd7a4396849a9296469557c6b696f6f82201c
40e20def19be45f1031e5cfa79a1bbc36caaa748;fa73843143e94af23b826e0cad0644981b33e396
40e20def19be45f1031e5cfa79a1bbc36caaa748;083d6b5ee970bb98ec58bc55703d5a7318f51bf8
40e20def19be45f1031e5cfa79a1bbc36caaa748;7bd0377c704e1ad066f26a1d3d37c574a66c5d72
40e20def19be45f1031e5cfa79a1bbc36caaa748;82dbfacdd3b838f4fec1e41d6b724b73afa9c3b4
40e20def19be45f1031e5cfa79a1bbc36caaa748;cb83fed1bb39671920fd1108665989fda77b4b41
40e20def19be45f1031e5cfa79a1bbc36caaa748;dc102cb9e3659f7f3b1b2276a1de58c4c3f13229
40e20def19be45f1031e5cfa79a1bbc36caaa748;50cc3511438264752be7ea49dcdbcdb87f8d02d4
40e20def19be45f1031e5cfa79a1bbc36caaa748;2b3ec25014c5d89b222f13648ca9efbb0875cfb4
40e20def19be45f1031e5cfa79a1bbc36caaa748;793cfce28b0228de6ab2c64109e6cea000b90ed5
40e20def19be45f1031e5cfa79a1bbc36caaa748;a4c3489ef0f1be4d2fa70e494b3f47a8074f3061
40e20def19be45f1031e5cfa79a1bbc36caaa748;6f0b046d5c0f1975dbbc91ccc03fa78ace792895
40e20def19be45f1031e5cfa79a1bbc36caaa748;a028b603a6ed3fef10d17483749446682ffcb084
40e20def19be45f1031e5cfa79a1bbc36caaa748;e045e30ace49772798964cd3c76200cd739c88d6
40e20def19be45f1031e5cfa79a1bbc36caaa748;790b990b3e5858e16b1f0bd3db657ffcea8b565a
40e20def19be45f1031e5cfa79a1bbc36caaa748;e964b8373386885f92a94c09ca59c03fd24ce821
40e20def19be45f1031e5cfa79a1bbc36caaa748;960e6408668f0bf8311172b2abd140d3eb752510
40e20def19be45f1031e5cfa79a1bbc36caaa748;b9a6ca3fab2e5e6cb5945ef44a1dca0f4b8c94f7
40e20def19be45f1031e5cfa79a1bbc36caaa748;df2ed7f31df1e023c9f9e35cb2d541f12ff8d1a6
40e20def19be45f1031e5cfa79a1bbc36caaa748;e65046284a7c465b5d3e9e3385d86af20ed13918
40e20def19be45f1031e5cfa79a1bbc36caaa748;15b9f5f29c4dd00722cf8d9d6d4db63a9f2af56c
40e20def19be45f1031e5cfa79a1bbc36caaa748;041a27fa63102e56a55df9cf0cc2c1273ac0d44e
40e20def19be45f1031e5cfa79a1bbc36caaa748;9f0c67c8774461ae5b2fd1a3d0bbd0c323c96a75
40e20def19be45f1031e5cfa79a1bbc36caaa748;b61e3ae20970e09210578b19ab0c4d9ca33972ea
40e20def19be45f1031e5cfa79a1bbc36caaa748;7fe6b63ff2ad26379d40663bdb15d2695e2f0877
40e20def19be45f1031e5cfa79a1bbc36caaa748;c66a8688c9698c54937b14d947fae6246d00dce5
40e20def19be45f1031e5cfa79a1bbc36caaa748;2b57875f8d6205d314b7146b2a98f9fb04d26983
40e20def19be45f1031e5cfa79a1bbc36caaa748;594ca1601f9e27f8744ee779746d6a622412f886
40e20def19be45f1031e5cfa79a1bbc36caaa748;91e96bbdc583539c3e764f6d52505b40cf71a1ff
40e20def19be45f1031e5cfa79a1bbc36caaa748;b8622755e1800b37dac7b4e6819b5e15ba976454
40e20def19be45f1031e5cfa79a1bbc36caaa748;f05a32e32371d3f091d4f7cb3b3a93389ccc6a51
40e20def19be45f1031e5cfa79a1bbc36caaa748;4f60f62b91620ed04562dafd2fa2fd6c185da1ab
40e20def19be45f1031e5cfa79a1bbc36caaa748;b436c166087270b2f89d1bdc12df837abadc8b27
40e20def19be45f1031e5cfa79a1bbc36caaa748;fd0e132400b7490b3120026bfac61413cfdb1d7d
40e20def19be45f1031e5cfa79a1bbc36caaa748;fa365c385b8969b375af8221a2720f079fe22d40
40e20def19be45f1031e5cfa79a1bbc36caaa748;f7f15bc12bb980165058f32bbb77a2b4e5716bca
40e20def19be45f1031e5cfa79a1bbc36caaa748;b86ed5d7db47a3fad4d281dec950d2dd34d34125
40e20def19be45f1031e5cfa79a1bbc36caaa748;8c5e082d27cc40b9adf1333295904a80ad4992b3
