submission_id;solution_id;group_id;tlgroup_id;exercise_id;runtime_id;worker_group_id;user_id;spawn_ts;end_ts;limits;cpu_time;correctness;compilation_ok;duration
391aa1415834f57661f4bc75e44850eecc3aa574;da15a46c5697df3d712097764674c44e0a3e6255;980c78166c3ac1b9b403842ec64c3d61f4c500e1;dcd4edce054ee50b20d0936e1cb0d407a429e92b;ea2b94a75b8698e95c3fd0c6576298d14822c32c;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;1283f5f8b0d11619113c0600faf5fbee8d819e0b;1509048258;1509049703;12.4;0;0.78571428571429;1;5.918
1796ec425ea0e0c8625e4203eb886a99822d4eb8;48638911376f5edc6c2b34b990666726874fccda;980c78166c3ac1b9b403842ec64c3d61f4c500e1;dcd4edce054ee50b20d0936e1cb0d407a429e92b;ea2b94a75b8698e95c3fd0c6576298d14822c32c;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;1283f5f8b0d11619113c0600faf5fbee8d819e0b;1509048259;1509049676;12.4;0;0.78571428571429;1;7.41
2f78fbb5350ed256ab441813ced2f937c5cad71b;1048a51cfe2252935cdfe4116d7063303d12d1a5;980c78166c3ac1b9b403842ec64c3d61f4c500e1;dcd4edce054ee50b20d0936e1cb0d407a429e92b;ea2b94a75b8698e95c3fd0c6576298d14822c32c;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;1283f5f8b0d11619113c0600faf5fbee8d819e0b;1509048259;1509049672;12.4;0;0.78571428571429;1;6.807
c55a93ff78d80b6cdcd685b65a20a39f1a861077;8f7c11ddef5d26a599be52350467939b67bb2c12;980c78166c3ac1b9b403842ec64c3d61f4c500e1;dcd4edce054ee50b20d0936e1cb0d407a429e92b;ea2b94a75b8698e95c3fd0c6576298d14822c32c;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;1283f5f8b0d11619113c0600faf5fbee8d819e0b;1509048259;1509049663;12.4;0;0.78571428571429;1;6.893
fe2a84efa5ff4b28f00e060057647b847b0373b8;2884bf37ec197256baeeb61f028a8d3de6f8ded4;980c78166c3ac1b9b403842ec64c3d61f4c500e1;dcd4edce054ee50b20d0936e1cb0d407a429e92b;ea2b94a75b8698e95c3fd0c6576298d14822c32c;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;ac27e042e8ad59decb30f0ec2ad10eef0353615d;1509048260;1509049759;12.4;0;0.85714285714286;1;4.287
3681fcfe588ca32b6429725ab0d75f219ba56992;33ce94b242f047d3cc6993577c4b5bd4721de8e6;980c78166c3ac1b9b403842ec64c3d61f4c500e1;dcd4edce054ee50b20d0936e1cb0d407a429e92b;ea2b94a75b8698e95c3fd0c6576298d14822c32c;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;1283f5f8b0d11619113c0600faf5fbee8d819e0b;1509048260;1509049693;12.4;0;0.78571428571429;1;6.782
1404a10881716400b86f437d9ef3219272e6c090;14e8935ee4a53ee7ffef67d225a86a310ea6ddf3;980c78166c3ac1b9b403842ec64c3d61f4c500e1;dcd4edce054ee50b20d0936e1cb0d407a429e92b;ea2b94a75b8698e95c3fd0c6576298d14822c32c;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;ac27e042e8ad59decb30f0ec2ad10eef0353615d;1509048260;1509049796;12.4;0;1.0;1;5.898
4e87a0f36812499d456327f98374830c32fb7fb6;6cd25396060d9701ecf51bf44becd84efe908b20;980c78166c3ac1b9b403842ec64c3d61f4c500e1;dcd4edce054ee50b20d0936e1cb0d407a429e92b;ea2b94a75b8698e95c3fd0c6576298d14822c32c;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;ac27e042e8ad59decb30f0ec2ad10eef0353615d;1509048261;1509049745;12.4;0;0.78571428571429;1;4.167
57b044a934c75747af9fbde2a56b549e539d9689;b11c78d0bad57d2b61afaa5ec8355e438245aee3;980c78166c3ac1b9b403842ec64c3d61f4c500e1;dcd4edce054ee50b20d0936e1cb0d407a429e92b;ea2b94a75b8698e95c3fd0c6576298d14822c32c;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;ac27e042e8ad59decb30f0ec2ad10eef0353615d;1509048261;1509049757;12.4;0;0.78571428571429;1;3.623
245ccc9b476a8901388e88f7ec9f39cb01429b8d;7843402ae317e585777b841a951ffc6e161f70b2;980c78166c3ac1b9b403842ec64c3d61f4c500e1;dcd4edce054ee50b20d0936e1cb0d407a429e92b;ea2b94a75b8698e95c3fd0c6576298d14822c32c;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;ac27e042e8ad59decb30f0ec2ad10eef0353615d;1509048261;1509049758;12.4;0;0.78571428571429;1;3.917
963feb34d32bf9367c6f9bc2af21a5652903cada;2a0eead159288f5f09c50d0e9713ab5c4919b58b;980c78166c3ac1b9b403842ec64c3d61f4c500e1;dcd4edce054ee50b20d0936e1cb0d407a429e92b;ea2b94a75b8698e95c3fd0c6576298d14822c32c;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;ac27e042e8ad59decb30f0ec2ad10eef0353615d;1509048262;1509049760;12.4;0;0.78571428571429;1;4.194
f5841eb9e38f00c942cd60d878fd077effd9e416;6a70a6c29a0e358d528e96be9dbc5e6dd833b3fe;980c78166c3ac1b9b403842ec64c3d61f4c500e1;dcd4edce054ee50b20d0936e1cb0d407a429e92b;ea2b94a75b8698e95c3fd0c6576298d14822c32c;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;ac27e042e8ad59decb30f0ec2ad10eef0353615d;1509048262;1509049748;12.4;0;0.78571428571429;1;3.507
657574a973b7c8eb9cbe126261986ec11c10e4e7;0c1c845a5543f9c46427daa87b5ff44c61862e33;980c78166c3ac1b9b403842ec64c3d61f4c500e1;dcd4edce054ee50b20d0936e1cb0d407a429e92b;ea2b94a75b8698e95c3fd0c6576298d14822c32c;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;ac27e042e8ad59decb30f0ec2ad10eef0353615d;1509048262;1509049757;12.4;0;0.78571428571429;1;3.948
